Method,CV_AUC_Mean,CV_AUC_Std
All_Features,0.8121737431353833,0.01487098434766272
LASSO,0.8189050770895896,0.018756259304030107
Best_First_Search,0.7977896159945168,0.02254220275532016
Random_Feature_Selection,0.8058309147035267,0.01625987882675935
